Date,Open,High,Low,Close,Adj Close,Volume
2020-04-06,75.739998,77.260002,74.029999,75.730003,71.886253,10266500
2020-04-07,78.379997,78.580002,75.250000,75.389999,71.563507,11591700
2020-04-08,76.440002,78.980003,74.779999,78.559998,74.572617,12218500
2020-04-09,78.559998,80.080002,78.559998,79.750000,75.702217,9425900
2020-04-13,80.660004,81.330002,78.660004,80.300003,76.224297,9293500
2020-04-14,80.620003,82.849998,80.290001,82.129997,79.124123,11072700
2020-04-15,80.510002,83.040001,79.620003,81.820000,78.825478,8977300
2020-04-16,82.730003,83.720001,81.580002,81.860001,78.864014,10326900
2020-04-17,84.000000,84.790001,82.500000,83.449997,80.395821,10734800
2020-04-20,83.540001,85.330002,82.629997,83.989998,80.916061,9126300
2020-04-21,82.510002,82.970001,80.019997,80.360001,77.418907,9627500
2020-04-22,81.230003,82.449997,80.730003,81.470001,78.488289,7033300
2020-04-23,82.180000,83.830002,81.959999,82.040001,79.037422,7869600
2020-04-24,82.870003,83.669998,82.349998,83.589996,80.530693,6770700
2020-04-27,84.029999,84.919998,83.779999,84.690002,81.590439,9209700
2020-04-28,85.699997,85.970001,82.370003,82.760002,79.731079,8341000
2020-04-29,83.720001,84.750000,82.139999,83.760002,80.694473,8231700
2020-04-30,82.970001,83.260002,81.230003,82.199997,79.191566,15535800
2020-05-01,81.949997,84.230003,80.500000,82.839996,79.808136,12705300
2020-05-04,82.220001,82.839996,81.120003,81.860001,78.864014,6833000
2020-05-05,82.949997,86.480003,82.599998,85.370003,82.245552,10927000
2020-05-06,86.279999,88.150002,85.250000,85.419998,82.293724,17042600
2020-05-07,86.519997,86.839996,83.559998,84.220001,81.137634,11941800
2020-05-08,84.419998,84.660004,82.449997,83.959999,80.887154,20188100
2020-05-11,85.080002,88.459999,83.980003,87.900002,84.682961,19219800
2020-05-12,90.000000,92.230003,88.470001,90.459999,87.149261,23492300
2020-05-13,90.739998,92.239998,87.730003,88.870003,85.617462,23562600
2020-05-14,87.620003,90.480003,87.430000,89.940002,86.648300,13379500
