Date,Open,High,Low,Close,Adj Close,Volume
2020-04-06,85.099998,86.169998,84.800003,85.730003,82.422600,2018200
2020-04-07,86.510002,86.580002,83.779999,83.989998,80.749725,2090100
2020-04-08,84.709999,86.239998,84.029999,85.620003,82.316841,1524500
2020-04-09,85.000000,85.589996,84.510002,84.849998,81.576546,2245300
2020-04-13,85.000000,85.330002,83.910004,84.199997,80.951622,1453400
2020-04-14,86.330002,86.779999,85.739998,86.220001,82.893692,4104000
2020-04-15,84.720001,86.300003,84.230003,85.610001,82.307228,1744200
2020-04-16,87.540001,87.750000,86.639999,87.540001,84.162773,1642300
2020-04-17,88.809998,89.430000,88.129997,89.290001,85.845253,2219100
2020-04-20,89.730003,91.360001,89.529999,89.779999,86.316353,3097300
2020-04-21,88.760002,89.099998,87.980003,88.269997,84.864601,3280400
2020-04-22,89.290001,89.330002,88.220001,88.300003,84.893456,2214600
2020-04-23,88.269997,90.400002,87.769997,88.099998,84.701164,2546100
2020-04-24,88.209999,89.370003,87.750000,89.050003,85.614517,1775300
2020-04-27,89.980003,90.500000,89.480003,89.589996,86.133675,2022100
2020-04-28,90.480003,90.580002,87.550003,88.040001,84.643478,3462700
2020-04-29,87.339996,87.589996,85.660004,85.709999,82.403366,2953500
2020-04-30,85.930000,85.940002,84.589996,84.730003,81.461182,2183200
2020-05-01,84.000000,84.300003,82.970001,83.410004,80.192108,1401800
2020-05-04,84.080002,84.199997,83.370003,84.000000,80.759338,1598800
2020-05-05,84.620003,85.330002,84.529999,84.750000,81.480408,1613600
2020-05-06,85.379997,86.120003,85.010002,85.349998,82.057259,958200
2020-05-07,85.290001,85.470001,83.940002,84.669998,81.403488,1292300
2020-05-08,85.139999,85.300003,84.690002,84.930000,81.653465,1555200
2020-05-11,84.860001,86.910004,84.779999,86.589996,83.249413,1640200
2020-05-12,86.440002,86.599998,85.059998,85.150002,81.864975,1438500
2020-05-13,85.480003,86.150002,84.820000,85.199997,81.913040,1805600
2020-05-14,82.860001,84.239998,82.699997,84.029999,80.788185,2248000
2020-05-15,84.239998,84.550003,83.169998,84.019997,80.778564,1494700
2020-05-18,84.779999,85.419998,84.620003,84.849998,81.576546,1497900
2020-05-19,84.989998,85.650002,84.750000,85.230003,81.941895,1818200
2020-05-20,85.739998,86.129997,85.360001,85.949997,82.634109,2912600
2020-05-21,86.199997,86.220001,84.570000,84.989998,81.711143,1696000
2020-05-22,83.849998,84.930000,83.510002,84.910004,81.634239,1356700
2020-05-26,85.129997,85.540001,84.839996,85.050003,81.768837,1847900
2020-05-27,84.239998,84.510002,83.250000,84.449997,81.191978,1838100
2020-05-28,85.070000,87.279999,85.019997,86.279999,82.951378,2806200
2020-05-29,87.330002,87.589996,85.820000,87.430000,84.057014,2565800
2020-06-01,87.120003,87.389999,86.089996,86.680000,83.335945,1089700
2020-06-02,85.839996,86.459999,85.589996,86.459999,83.124435,1665900
